$28 <= 00000000
$29 <= 00000000
$ 1 <= 1da30000
$ 0 <= 1da3a2d8
$ 1 <= 36f90000
$ 1 <= 36f9b9cb
$ 1 <= 03330000
$ 2 <= 0333f692
$ 1 <= 254b0000
$ 3 <= 254b9bc1
$ 1 <= 72f40000
$ 4 <= 72f47349
$ 1 <= 7e4e0000
$ 5 <= 7e4e189b
$ 1 <= 0e3a0000
$ 0 <= 0e3a1ab4
$ 1 <= 003d0000
$ 1 <= 003d3b26
$ 1 <= 61590000
$ 2 <= 61595194
$ 1 <= 07860000
$ 3 <= 07866ab9
$ 1 <= 38460000
$ 4 <= 38466ad6
$ 1 <= 2eb40000
$ 5 <= 2eb48688
$ 0 <= 00000001
$ 5 <= 00000001
$ 3 <= 07866ab9
$ 2 <= 9ea6ae6b
$ 0 <= c7b99529
$ 3 <= 00000000
$ 1 <= 00000000
$ 5 <= fffffffe
$ 0 <= 00000001
$ 1 <= 00000000
$ 2 <= 00000000
*00000018 <= d6
$ 1 <= 00000000
$ 1 <= 00000000
$ 4 <= 000074cd
*00000010 <= 00
$ 3 <= 00000000
$ 4 <= 1fe10000
$ 5 <= 00000000
$ 4 <= 00000001
$ 0 <= 00000000
$ 2 <= 00000001
$ 5 <= 00000000
$25 <= 00003040
$25 <= 00003044
*00000019 <= 00
$ 5 <= 00000002
$ 2 <= 00002cbe
$ 3 <= 00000002
$ 3 <= 00005b58
$ 0 <= 00000000
$ 1 <= 0000b6b0
$ 0 <= 0000597c
$ 2 <= 00000000
$ 5 <= 00000000
$ 5 <= 000071a8
$ 5 <= 00002cf1
$ 4 <= 00002cf1
$ 1 <= 000024b0
$ 2 <= 0000071d
$ 0 <= 00000000
$ 2 <= 00000000
$ 2 <= 00006407
$ 1 <= 12380000
$ 3 <= 1238d369
$ 3 <= 1238a678
$ 4 <= 00000000
$ 0 <= 00000000
$ 4 <= edc79bf8
$ 1 <= b73b0000
$ 3 <= b73b76b9
$ 1 <= a54c0000
$ 4 <= a54cba72
$ 4 <= b73b76b9
$ 0 <= 000066a8
$ 1 <= 0000726c
$ 3 <= 48c4fbb3
$ 0 <= b73b044d
$ 4 <= 00000001
$ 1 <= 00000000
$ 2 <= 00006a28
$ 0 <= 48c577c4
$ 1 <= 0e3a0000
$ 0 <= 0e3a1ab4
$ 1 <= 003d0000
$ 1 <= 003d3b26
$ 1 <= 61590000
$ 2 <= 61595194
$ 1 <= 07860000
$ 3 <= 07866ab9
$ 1 <= 38460000
$ 4 <= 38466ad6
$ 1 <= 2eb40000
$ 5 <= 2eb48688
$ 0 <= 00000001
$ 5 <= 00000001
$ 3 <= 07866ab9
$ 2 <= 9ea6ae6b
$ 0 <= c7b99529
$ 3 <= 00000000
$ 1 <= efb4cde5
$ 5 <= fffffffe
$ 0 <= 00000000
$ 1 <= 00000000
$ 2 <= 00001c6e
*00000018 <= d6
$ 1 <= efb4cde5
$ 1 <= 00001c6e
$ 4 <= 000074cd
*00000010 <= 00
$ 3 <= 00000000
$ 4 <= 1fe10000
$ 5 <= 00000000
$ 4 <= 00000001
$ 0 <= 00000000
$ 2 <= 00000001
$ 5 <= 00000000
$25 <= 000030e4
$25 <= 000030e8
$ 1 <= 00000048
$ 1 <= fffffffe
$ 1 <= 0e3a0000
$ 0 <= 0e3a1ab4
$ 1 <= 003d0000
$ 1 <= 003d3b26
$ 1 <= 61590000
$ 2 <= 61595194
$ 1 <= 07860000
$ 3 <= 07866ab9
$ 1 <= 38460000
$ 4 <= 38466ad6
$ 1 <= 2eb40000
$ 5 <= 2eb48688
$ 0 <= 00000001
$ 5 <= 00000001
$ 3 <= 07866ab9
$ 2 <= 9ea6ae6b
$ 0 <= c7b99529
$ 3 <= 00000000
$ 1 <= 00001c6e
$ 5 <= fffffffe
$ 0 <= 00000001
$ 1 <= 00000000
$ 2 <= 00000000
*00000018 <= d6
$ 1 <= 00001c6e
$ 1 <= 00000000
$ 4 <= 000074cd
*00000010 <= 00
$ 3 <= 00000000
$ 4 <= 1fe10000
$ 5 <= 00000000
$ 4 <= 00000001
$ 0 <= 00000000
$ 2 <= 00000001
$ 5 <= 00000000
$25 <= 000030f0
$25 <= 000030f4
$ 5 <= 00000001
$ 4 <= 00000000
$ 0 <= 00000000
$ 1 <= 0e3a0000
$ 0 <= 0e3a1ab4
$ 1 <= 003d0000
$ 1 <= 003d3b26
$ 1 <= 61590000
