$28 <= 00000000
$29 <= 00000000
$ 1 <= 45760000
$ 0 <= 45762dbc
$ 1 <= 14020000
$ 1 <= 1402ca0f
$ 1 <= 203c0000
$ 2 <= 203c737d
$ 1 <= 25df0000
$ 3 <= 25df6e42
$ 1 <= 7d990000
$ 4 <= 7d998177
$ 1 <= 1c550000
$ 5 <= 1c55e393
$ 5 <= f67591be
$ 2 <= d6391e41
$ 1 <= 00000640
$ 3 <= 00000000
$ 4 <= 00000001
$ 5 <= 00000001
$ 0 <= 29c6e1be
$ 1 <= 1ce20000
$ 0 <= 1ce298f2
$ 1 <= 78ae0000
$ 1 <= 78ae059e
$ 1 <= 70780000
$ 2 <= 7078672f
$ 1 <= 72810000
$ 3 <= 728186cc
$ 1 <= 3bd00000
$ 4 <= 3bd0293f
$ 1 <= 56750000
$ 5 <= 5675e28a
$ 4 <= 00000000
$ 0 <= 56762baa
$ 2 <= 00000000
$ 4 <= 00000000
$ 0 <= 00000000
$ 1 <= 00000000
$ 4 <= 00000001
*0000002e <= 0001
$ 4 <= 00000000
$ 3 <= 7281942e
$ 1 <= 00000000
$ 1 <= 000005b3
$ 4 <= 5675efea
$ 5 <= 00000001
$ 2 <= 000007e0
$ 5 <= 24f47bc4
*00000022 <= 0000
$ 1 <= 00000000
$25 <= 0000306c
$25 <= 00003070
$ 2 <= 00000014
$ 2 <= b272e796
$ 0 <= 7281942e
$ 2 <= 24f47bc4
$ 1 <= dc870000
$ 5 <= dc874dc4
$ 1 <= 1ce20000
$ 0 <= 1ce298f2
$ 1 <= 78ae0000
$ 1 <= 78ae059e
$ 1 <= 70780000
$ 2 <= 7078672f
$ 1 <= 72810000
$ 3 <= 728186cc
$ 1 <= 3bd00000
$ 4 <= 3bd0293f
$ 1 <= 56750000
$ 5 <= 5675e28a
$ 4 <= 00000001
$ 0 <= 56762baa
$ 2 <= 00000000
$ 4 <= 00000000
$ 0 <= 00000000
$ 1 <= 00000000
$ 4 <= 00000000
*0000002e <= 0000
$ 4 <= 00000000
$ 3 <= 7281942e
$ 1 <= 00000000
$ 1 <= 000005b3
$ 4 <= 5675efea
$ 5 <= 00000001
$ 2 <= 000007e0
$ 5 <= 24f47bc4
*00000022 <= 0000
$ 1 <= 00000000
$25 <= 00003088
$25 <= 0000308c
$ 3 <= 890a0011
$ 1 <= 00000030
$ 3 <= 00000000
$ 3 <= 0000097b
$ 4 <= 00001a02
$ 5 <= 00000eea
$ 1 <= 1ce20000
$ 0 <= 1ce298f2
$ 1 <= 78ae0000
$ 1 <= 78ae059e
$ 1 <= 70780000
$ 2 <= 7078672f
$ 1 <= 72810000
$ 3 <= 728186cc
$ 1 <= 3bd00000
$ 4 <= 3bd0293f
$ 1 <= 56750000
$ 5 <= 5675e28a
$ 4 <= 00000000
$ 0 <= 56762baa
$ 2 <= 00000000
$ 4 <= 00000000
$ 0 <= 00000000
$ 1 <= 00000000
$ 4 <= 00000000
*0000002e <= 0000
$ 4 <= 00000000
$ 3 <= 7281942e
$ 1 <= 00000000
$ 1 <= 000005b3
$ 4 <= 5675efea
$ 5 <= 00000001
$ 2 <= 000007e0
$ 5 <= 24f47bc4
*00000022 <= 0000
$ 1 <= 00000000
$25 <= 000030a8
$25 <= 000030ac
$ 1 <= 00000000
$ 4 <= db0b801b
$ 5 <= db0bdb7f
$ 4 <= 00000000
$ 2 <= 000007e0
$ 1 <= db0c38dc
$ 3 <= 0000337d
$ 5 <= 24f42481
$ 4 <= 00002144
$ 1 <= 00008378
$ 2 <= 00000000
$ 1 <= 1ce20000
$ 0 <= 1ce298f2
